Prod_name,Prod_price,Prod_link,Prod_rate,Prod_review
Small 17 L Backpack Zeal,1429,https://www.flipkart.com/wildcraft-zeal-17-l-backpack/p/itmf7av5ajy2u58s?pid=BKPF7AV5WD7BFKWF&lid=LSTBKPF7AV5WD7BFKWFIDAKJS&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPF7AV5WD7BFKWF.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.4,5912
55 L Laptop Backpack Laptop backpack spacy unisex backp...,1149,https://www.flipkart.com/wrogn-laptop-backpack-spacy-unisex-fits-upto-16-inches-college-bag-school-bag-55-l/p/itm8915d0748775e?pid=BKPGNPGGD9KZC62T&lid=LSTBKPGNPGGD9KZC62T6JJDIW&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRZ6iHW94O72dQwxGI2ggUeyEbT8AEjI_veGW8XZV9nrJA%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,762
"Small 15 L Backpack Unisex's Casual Daypack, Classic, D...",599,https://www.flipkart.com/dovvo-unisex-s-casual-daypack-classic-daily-backpack-wbag-55-blue-15-l-backpack/p/itm3d491d4c7abc1?pid=BKPGKTVQJZQAGZPB&lid=LSTBKPGKTVQJZQAGZPBLYHVFF&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRZSCwSe6oKXYfPNaJi2gw1vPdSVkaEiAglnrS0IZ6kFnA%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4,11
Medium 26 L Backpack Burner V2,919,https://www.flipkart.com/f-gear-burner-v2-26-l-backpack/p/itmf3umapnpkhszn?pid=BKPENSTYU3HFGSNE&lid=LSTBKPENSTYU3HFGSNEQ5HX6Q&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPENSTYU3HFGSNE.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.2,4132
Medium 25 L Backpack DAYPACK Bags Backpack for daily us...,279,https://www.flipkart.com/zcraft-daypack-bags-backpack-daily-use-library-office-outdoor-hiking-25-l/p/itme85ed9dd77fbf?pid=BKPGNGGZ3FCRSBAB&lid=LSTBKPGNGGZ3FCRSBABW1ARSV&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_2_1&otracker=search&otracker1=search&fm=Search&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRZTQIc1vZJ38myrfG-41j-1aXtAEQQHc88KbOCHKKWeIQ%3D%3D&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.7,31
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,349,https://www.flipkart.com/plexy-small-25-l-daypack-bagpack-daily-routine-backpack/p/itm786efb9d2ee36?pid=BKPGHSBZEXWZGHW7&lid=LSTBKPGHSBZEXWZGHW7NC7OUL&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_2_2&otracker=search&otracker1=search&fm=Search&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRYCe280Vh90cuEsbI7D8tn4hI-rFdWoZxE77ghuRN0ORA%3D%3D&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.6,140
55 L Laptop Backpack Laptop backpack spacy unisex backp...,744,https://www.flipkart.com/wrogn-laptop-backpack-spacy-unisex-fits-upto-16-inches-college-bag-school-bag-55-l/p/itm0171fa2feb0c4?pid=BKPGHCJCDMQPSCU9&lid=LSTBKPGHCJCDMQPSCU9OOXRJP&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_3_41&otracker=search&otracker1=search&fm=Search&iid=en_5mddGnOCj0FEvXyYdmP53zl38s0EjOHUxOo1Za8VOkEy9fCWtnWReRIDco1LcAZiAgxHz1xohMmwEV1wQczUYA%3D%3D&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,762
55 L Laptop Backpack Laptop backpack spacy unisex backp...,744,https://www.flipkart.com/wrogn-laptop-backpack-spacy-unisex-fits-upto-16-inches-college-bag-school-bag-55-l/p/itm5c0c70d03e7be?pid=BKPGHCJCAZVHMUNK&lid=LSTBKPGHCJCAZVHMUNK5R9CDD&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_3_42&otracker=search&otracker1=search&fm=Search&iid=en_5mddGnOCj0FEvXyYdmP53zl38s0EjOHUxOo1Za8VOkELTt8va7xsYsX423gwWfzGkMLvVrD_yRswINaX62_CNA%3D%3D&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,762
Medium 22 L Backpack VOXEL 22L BACKPACK BLUE,849,https://www.flipkart.com/skybags-voxel-22l-backpack-blue-22-l/p/itm1b20833b9a90e?pid=BKPGDSSPCJNHACFG&lid=LSTBKPGDSSPCJNHACFGYXNQ6X&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_3_43&otracker=search&otracker1=search&fm=Search&iid=c1ce84aa-9fe4-4d07-9343-e46cb0c797b3.BKPGDSSPCJNHACFG.SEARCH&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.1,185
Small 13 L Backpack Royal Black,1016,https://www.flipkart.com/arctic-fox-royal-black-13-l-backpack/p/itm83d2df7971680?pid=BKPFTSXWGCVX4ZYF&lid=LSTBKPFTSXWGCVX4ZYFZO6GT7&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_3_44&otracker=search&otracker1=search&fm=Search&iid=c1ce84aa-9fe4-4d07-9343-e46cb0c797b3.BKPFTSXWGCVX4ZYF.SEARCH&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.4,8
Medium 24 L Backpack Zeal,1799,https://www.flipkart.com/wildcraft-zeal-24-l-backpack/p/itme86bbcd51668a?pid=BKPG6UKG6PHDBVH6&lid=LSTBKPG6UKG6PHDBVH693UWBC&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_3_45&otracker=search&otracker1=search&fm=Search&iid=c1ce84aa-9fe4-4d07-9343-e46cb0c797b3.BKPG6UKG6PHDBVH6.SEARCH&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.3,0
"Small 20 L Laptop Backpack Casual Travel,College Backpa...",999,https://www.flipkart.com/donicy-casual-travel-college-backpack-20-l/p/itm20a0702e90952?pid=BKPGMVEEWTZA6FJN&lid=LSTBKPGMVEEWTZA6FJNG4TJTP&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_3_46&otracker=search&otracker1=search&fm=Search&iid=c1ce84aa-9fe4-4d07-9343-e46cb0c797b3.BKPGMVEEWTZA6FJN.SEARCH&ppt=sp&ppn=sp&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.3,44
